state,date,county,fips,cases,deaths
California,4/18/20,Alameda,6001.0,1135,41
California,4/18/20,Alpine,6003.0,1,0
California,4/18/20,Amador,6005.0,6,0
California,4/18/20,Butte,6007.0,16,0
California,4/18/20,Calaveras,6009.0,12,0
California,4/18/20,Colusa,6011.0,3,0
California,4/18/20,Contra Costa,6013.0,685,19
California,4/18/20,Del Norte,6015.0,2,0
California,4/18/20,El Dorado,6017.0,36,0
California,4/18/20,Fresno,6019.0,315,7
California,4/18/20,Glenn,6021.0,4,0
California,4/18/20,Humboldt,6023.0,52,0
California,4/18/20,Imperial,6025.0,155,2
California,4/18/20,Inyo,6027.0,18,0
California,4/18/20,Kern,6029.0,619,3
California,4/18/20,Kings,6031.0,28,1
California,4/18/20,Lake,6033.0,6,0
California,4/18/20,Los Angeles,6037.0,12021,576
California,4/18/20,Madera,6039.0,34,2
California,4/18/20,Marin,6041.0,189,10
California,4/18/20,Mendocino,6045.0,5,0
California,4/18/20,Merced,6047.0,87,3
California,4/18/20,Mono,6051.0,23,1
California,4/18/20,Monterey,6053.0,136,3
California,4/18/20,Napa,6055.0,47,2
California,4/18/20,Nevada,6057.0,36,1
California,4/18/20,Orange,6059.0,1556,32
California,4/18/20,Placer,6061.0,131,8
California,4/18/20,Plumas,6063.0,4,0
California,4/18/20,Riverside,6065.0,2602,74
California,4/18/20,Sacramento,6067.0,914,33
California,4/18/20,San Benito,6069.0,44,2
California,4/18/20,San Bernardino,6071.0,1219,57
California,4/18/20,San Diego,6073.0,2213,71
California,4/18/20,San Francisco,6075.0,1140,20
California,4/18/20,San Joaquin,6077.0,410,17
California,4/18/20,San Luis Obispo,6079.0,131,1
California,4/18/20,San Mateo,6081.0,838,28
California,4/18/20,Santa Barbara,6083.0,385,4
California,4/18/20,Santa Clara,6085.0,1870,74
California,4/18/20,Santa Cruz,6087.0,101,2
California,4/18/20,Shasta,6089.0,26,3
California,4/18/20,Siskiyou,6093.0,5,0
California,4/18/20,Solano,6095.0,174,2
California,4/18/20,Sonoma,6097.0,180,2
California,4/18/20,Stanislaus,6099.0,221,4
California,4/18/20,Sutter,6101.0,25,2
California,4/18/20,Tehama,6103.0,1,0
California,4/18/20,Tulare,6107.0,397,17
California,4/18/20,Tuolumne,6109.0,2,0
California,4/18/20,Ventura,6111.0,416,13
California,4/18/20,Yolo,6113.0,137,8
California,4/18/20,Yuba,6115.0,16,1
